strategy,score,dateclockwise,1424,07/01/2015
clockwise,1128,07/01/2015
clockwise,164,07/01/2015
clockwise,2248,07/01/2015
clockwise,592,07/01/2015
clockwise,628,07/01/2015
clockwise,700,07/01/2015
clockwise,1380,07/01/2015
clockwise,296,07/01/2015
clockwise,1112,07/01/2015
counter_clockwise,2444,07/01/2015
counter_clockwise,3004,07/01/2015
counter_clockwise,2400,07/01/2015
counter_clockwise,648,07/01/2015
counter_clockwise,1392,07/01/2015
counter_clockwise,1400,07/01/2015
counter_clockwise,1364,07/01/2015
counter_clockwise,2664,07/01/2015
counter_clockwise,1488,07/01/2015
counter_clockwise,1576,07/01/2015
random,1128,07/01/2015
random,164,07/01/2015
random,2248,07/01/2015
random,592,07/01/2015
random,628,07/01/2015
random,700,07/01/2015
random,1380,07/01/2015
random,296,07/01/2015
random,1112,07/01/2015
random,424,07/01/2015
